model,threshold,precision,recall,f1,business_cost,TP,TN,FP,FN
Random Forest,0.37,0.801980198019802,0.8617021276595744,0.8307692307692308,150,81,56631,20,13
Random Forest,0.38,0.81,0.8617021276595744,0.8350515463917526,149,81,56632,19,13
Random Forest,0.39,0.8181818181818182,0.8617021276595744,0.8393782383419689,148,81,56633,18,13
Random Forest,0.4,0.8181818181818182,0.8617021276595744,0.8393782383419689,148,81,56633,18,13
Random Forest,0.41,0.8181818181818182,0.8617021276595744,0.8393782383419689,148,81,56633,18,13
Random Forest,0.42,0.8181818181818182,0.8617021276595744,0.8393782383419689,148,81,56633,18,13
Random Forest,0.43,0.826530612244898,0.8617021276595744,0.84375,147,81,56634,17,13
Random Forest,0.44,0.8526315789473684,0.8617021276595744,0.8571428571428571,144,81,56637,14,13
Random Forest,0.45,0.8526315789473684,0.8617021276595744,0.8571428571428571,144,81,56637,14,13
Random Forest,0.46,0.8526315789473684,0.8617021276595744,0.8571428571428571,144,81,56637,14,13
Random Forest,0.47,0.8526315789473684,0.8617021276595744,0.8571428571428571,144,81,56637,14,13
Random Forest,0.48,0.8602150537634409,0.851063829787234,0.8556149732620321,153,80,56638,13,14
Random Forest,0.49,0.8695652173913043,0.851063829787234,0.8602150537634409,152,80,56639,12,14
Random Forest,0.5,0.8695652173913043,0.851063829787234,0.8602150537634409,152,80,56639,12,14
Random Forest,0.51,0.8681318681318682,0.8404255319148937,0.8540540540540541,162,79,56639,12,15
Random Forest,0.52,0.8777777777777778,0.8404255319148937,0.8586956521739131,161,79,56640,11,15
Random Forest,0.53,0.8777777777777778,0.8404255319148937,0.8586956521739131,161,79,56640,11,15
Random Forest,0.54,0.8777777777777778,0.8404255319148937,0.8586956521739131,161,79,56640,11,15
Random Forest,0.55,0.8876404494382022,0.8404255319148937,0.8633879781420765,160,79,56641,10,15
Random Forest,0.56,0.8876404494382022,0.8404255319148937,0.8633879781420765,160,79,56641,10,15
Random Forest,0.57,0.8876404494382022,0.8404255319148937,0.8633879781420765,160,79,56641,10,15
Random Forest,0.58,0.8977272727272727,0.8404255319148937,0.8681318681318682,159,79,56642,9,15
Random Forest,0.59,0.8977272727272727,0.8404255319148937,0.8681318681318682,159,79,56642,9,15
Random Forest,0.6,0.8977272727272727,0.8404255319148937,0.8681318681318682,159,79,56642,9,15
Random Forest,0.61,0.8977272727272727,0.8404255319148937,0.8681318681318682,159,79,56642,9,15
Random Forest,0.62,0.8977272727272727,0.8404255319148937,0.8681318681318682,159,79,56642,9,15
Random Forest,0.63,0.9080459770114943,0.8404255319148937,0.8729281767955801,158,79,56643,8,15
Random Forest,0.64,0.9080459770114943,0.8404255319148937,0.8729281767955801,158,79,56643,8,15
Random Forest,0.65,0.9176470588235294,0.8297872340425532,0.8715083798882681,167,78,56644,7,16
Random Forest,0.66,0.9390243902439024,0.8191489361702128,0.875,175,77,56646,5,17
Random Forest,0.67,0.9390243902439024,0.8191489361702128,0.875,175,77,56646,5,17
Random Forest,0.68,0.9390243902439024,0.8191489361702128,0.875,175,77,56646,5,17
Random Forest,0.69,0.9390243902439024,0.8191489361702128,0.875,175,77,56646,5,17
Random Forest,0.7,0.9390243902439024,0.8191489361702128,0.875,175,77,56646,5,17
Random Forest,0.71,0.9390243902439024,0.8191489361702128,0.875,175,77,56646,5,17
Random Forest,0.72,0.9382716049382716,0.8085106382978723,0.8685714285714285,185,76,56646,5,18
Random Forest,0.73,0.9367088607594937,0.7872340425531915,0.8554913294797688,205,74,56646,5,20
Random Forest,0.74,0.9367088607594937,0.7872340425531915,0.8554913294797688,205,74,56646,5,20
Random Forest,0.75,0.9487179487179487,0.7872340425531915,0.8604651162790697,204,74,56647,4,20
Random Forest,0.76,0.948051948051948,0.776595744680851,0.8538011695906432,214,73,56647,4,21
Random Forest,0.77,0.9473684210526315,0.7659574468085106,0.8470588235294118,224,72,56647,4,22
Random Forest,0.78,0.9473684210526315,0.7659574468085106,0.8470588235294118,224,72,56647,4,22
Random Forest,0.79,0.9473684210526315,0.7659574468085106,0.8470588235294118,224,72,56647,4,22
Random Forest,0.8,0.9473684210526315,0.7659574468085106,0.8470588235294118,224,72,56647,4,22
Random Forest,0.81,0.9466666666666667,0.7553191489361702,0.8402366863905325,234,71,56647,4,23
